MYear	Mnth	Mpips
2014	January	365
2014	February	425
2014	March	282
2014	April	349
2014	May	275
2014	June	168
2014	July	155
2014	August	163
2014	September	340
2014	October	545
2014	November	240
2014	December	257
2015	January	228
2015	February	280
2015	March	220
2015	April	330
2015	May	248
2015	June	213
2015	July	786
2015	August	53
2015	September	658
2015	October	80
2015	November	239.4
2015	December	-51
2016	January	494
2016	February	-154
2016	March	211
2016	April	302
2016	May	99
2016	June	-218
2016	July	700
2016	August	440
2016	September	380
2016	October	807
2016	November	413
2016	December	542
2017	January	166
2017	February	636
2017	March	719
2017	April	511
2017	May	294
2017	June	321
2017	July	211
2017	August	110
2017	September	414
2017	October	-178
2017	November	209
2017	December	0
2018	January	-233
2018	February	144
2018	March	87
2018	April	339
2018	May	148
2018	June	231
2018	July	-367
